,Theme Quote Database,
T1,Theme 1: Negotiating Connection With the Character,
T2,Theme 2: Frustration at Being Unable to Interact,
T3,Theme 3: Specificity in the Main Items of the Story,
T4,Theme 4: Describing the Way the Character Feels,
T5,Theme 5: Describing the Aesthetics of the Scene,
T6,Theme 6: Building the Backstory,
,,
Participant ID,Quote,Theme
,,
N01J,── Participant N01J ──,
N01J,"He looked at a photo, and the photo blew away. And he was sad about that.",Theme 4: Describing the Way the Character Feels
N01J,I noticed the setting and all of the items in the room and the story in general.,Theme 5: Describing the Aesthetics of the Scene
N01J,In terms of like interacting with the story felt a little bit of nostalgia and like coziness with the items and the teddy bear and sadness with the photo.,Theme 3: Specificity in the Main Items of the Story
N01J,"I think the gestures were certainly helpful, and it wasn't a super, like, expressive character, but they were indicating a little bit how they felt and, yeah, how they interacted with the items in the photograph.",Theme 4: Describing the Way the Character Feels
,,
T02J,── Participant T02J ──,
T02J,"I was looking around the area in the room and I was like looking at the models that were, like, very distinct and, like, not very bright, like, not the color scheme of it, but you could tell, like there was more focus on the objects in terms of like texture and stuff for like the fan.",Theme 5: Describing the Aesthetics of the Scene
T02J,"The teddy bear is pretty easy to tell, like, oh, I was like, oh, that's like right at the center of the table. And I want to focus on it.",Theme 3: Specificity in the Main Items of the Story
T02J,"I wasn't sure where the fan thing came in. I was like, I feel like after the photograph was introduced, that's when I felt the fan more and I wasn't, even though the fan was moving the entire time I was there. I didn't feel the wind before the photograph came in.",Theme 3: Specificity in the Main Items of the Story
T02J,"I think for the tactile experience, the photograph was the best one for me. Because I was following the motion, like I got into the groove of following the motions of the character.",Theme 1: Negotiating Connection With the Character
T02J,"Emotion wise, I feel like I was kind of frustrated. Like I got super into it. I was like, hey, hey, it's right here type of thing. I'm like, oh, there's no way. Like they would be prompted by my hands to be like, it's right here type of thing.",Theme 2: Frustration at Being Unable to Interact
T02J,"The animation of the character after losing the photograph — I feel like with the tactile nature of both the teddy bear and the beads and the soccer ball, they didn't have much of an impact on me as like the photograph and fan did.",Theme 3: Specificity in the Main Items of the Story
T02J,"I was trying to mimic what the character in the simulation was doing. I was like, oh, it's touching. It's like, oh, it's lifting it up and putting all that type of thing.",Theme 1: Negotiating Connection With the Character
T02J,"For the beads, it just picked it up. But I was trying to feel like — because when I have beads, I, like, run over every single individual bead. So it was a very tactile experience for the moment.",Theme 3: Specificity in the Main Items of the Story
T02J,The photograph was the most tactile because of the like leveling of the photograph that you have on a Polaroid that you can tell.,Theme 3: Specificity in the Main Items of the Story
T02J,"For the sounds of like the ringing, I felt it come from here. So I felt like you would be going to a corridor then making a right or something before you go to the door. Like it helped me imagine that it wasn't just straight to the door out of the room.",Theme 5: Describing the Aesthetics of the Scene
T02J,"I'm like, oh, I guess, like in this situation of the game, I'm like a friendly ghost that's haunting the character.",Theme 1: Negotiating Connection With the Character
T02J,"I was a little bit sad for him and then very curious of like, oh, you have, like, a girlfriend or a significant other or like a sister. I don't know who this other person is, but like, this photograph is clearly important to you.",Theme 6: Building the Backstory
T02J,"You're moving out of the house or something because you're putting stuff in boxes or like, are these gifts that you got from the significant other and you broke up or something, but you're not like over it, and that's why you're frantically searching for the photograph or something like that. Like I was coming up with storylines in my head.",Theme 6: Building the Backstory
T02J,"I was really focused on the extremely textured cardboard boxes. I was like, that's really textured nicely.",Theme 5: Describing the Aesthetics of the Scene
